instructionsLoop.thisRepN,instructionsLoop.thisTrialN,instructionsLoop.thisN,instructionsLoop.thisIndex,instructionsLoop.ran,participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,fix_onset,tprac,practiceKey.keys,practiceKey.rt,pracitem_chosen_name,acc_practice,P1_onsetPrac,P2_onsetPrac,onsetFeedbPrac,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,P1,P2,Block,LocItem1,LocItem2,NameItem1,NameItem2,key_respAC_prac.keys,key_respAC_prac.corr,key_respAC_prac.rt,AC_acc,Attentions.thisRepN,Attentions.thisTrialN,Attentions.thisN,Attentions.thisIndex,Attentions.ran,Stim,Loc1,Loc2,Loc3,Loc4,CorrAns,keyDisturbed.keys,keyDisturbed.rt,repPractice.thisRepN,repPractice.thisTrialN,repPractice.thisN,repPractice.thisIndex,repPractice.ran,fixcross_onsetMain,trialNumber,key_resp.keys,item_chosen_name,item_chosen_value,item_chosen_ID,diff_chosen_minus_reject,key_resp.rt,acc_real,acc_feedback,P1_onset,P2_onset,feedb_onset,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Trial,ValueP1,ValueP2,P1name,P2name,P1Loc,P2Loc,P1id,P2id,Micro_categoryP1,Macro_categoryP1,Micro_categoryP2,Macro_categoryP2,ID_sequenceP1,ID_sequenceP2,InverseFb,pNumber,repBlocks.thisRepN,repBlocks.thisTrialN,repBlocks.thisN,repBlocks.thisIndex,repBlocks.ran,key_respAC.keys,key_respAC.corr,key_respAC.rt,trials_AC.thisRepN,trials_AC.thisTrialN,trials_AC.thisN,trials_AC.thisIndex,trials_AC.ran,Bonus,BonusLoop.thisRepN,BonusLoop.thisTrialN,BonusLoop.thisN,BonusLoop.thisIndex,BonusLoop.ran,comments
,,,,,46,2020-07-04_15h47.08.301,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,648.14785,18,right,satellite_dish,4,10,-1,0.563255001,0,0,648.181525,648.181525,650.68107,0,17,17,17,1,18,5,4,sport_tshirt,satellite_dish,html/resources/sequences_IDs/B/07_sport_tshirt.jpg,html/resources/sequences_IDs/A/10_satellite_dish.jpg,7,10,3,2,4,2,6,8,0,46,,,,,,,,,,,,,,,,,,,,
,,,,,46,2020-07-04_15h47.08.301,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,651.782475,19,NaN,No_response,NaN,NaN,NaN,NaN,2,2,651.800155,651.800155,654.28984,0,18,18,18,1,19,3,2,redfox      ,scarf         ,html/resources/sequences_IDs/B/01_redfox.jpg,html/resources/sequences_IDs/A/06_scarf.jpg,1,6,1,1,3,2,1,5,0,46,,,,,,,,,,,,,,,,,,,,
,,,,,46,2020-07-04_15h47.08.301,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,655.38343,20,right,clownfish     ,6,4,-1,0.46974,0,1,655.41834,655.41834,657.91728,0,19,19,19,1,20,7,6,phone       ,clownfish     ,html/resources/sequences_IDs/B/09_phone.jpg,html/resources/sequences_IDs/A/04_clownfish.jpg,9,4,4,2,2,1,7,3,1,46,,,,,,,,,,,,,,,,,,,,
,,,,,46,2020-07-04_15h47.08.301,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,659.01888,21,left,phone       ,7,9,-1,0.745475,0,1,659.054045,659.054045,661.543765,0,20,20,20,1,21,7,8,phone       ,camel         ,html/resources/sequences_IDs/B/09_phone.jpg,html/resources/sequences_IDs/A/03_camel.jpg,9,3,4,2,1,1,7,2,1,46,,,,,,,,,,,,,,,,,,,,
,,,,,46,2020-07-04_15h47.08.301,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,662.63967,22,right,sport_tshirt,5,7,1,0.766574999,1,1,662.658045,662.658045,665.152975,0,21,21,21,1,22,4,5,satellite_dish,sport_tshirt,html/resources/sequences_IDs/A/10_satellite_dish.jpg,html/resources/sequences_IDs/B/07_sport_tshirt.jpg,10,7,4,2,3,2,8,6,0,46,,,,,,,,,,,,,,,,,,,,
,,,,,46,2020-07-04_15h47.08.301,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,666.27544,23,left,redfox      ,3,1,-1,1.026845,0,0,666.307105,666.307105,668.804785,0,22,22,22,1,23,3,4,redfox      ,satellite_dish,html/resources/sequences_IDs/B/01_redfox.jpg,html/resources/sequences_IDs/A/10_satellite_dish.jpg,1,10,1,1,4,2,1,8,0,46,,,,,,,,,,,,,,,,,,,,
,,,,,46,2020-07-04_15h47.08.301,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,669.907145,24,right,sport_tshirt,5,7,4,1.008415,1,3,669.941115,669.941115,672.438675,0,23,23,23,1,24,1,5,parrot      ,sport_tshirt,html/resources/sequences_IDs/B/05_parrot.jpg,html/resources/sequences_IDs/B/07_sport_tshirt.jpg,5,7,2,1,3,2,4,6,0,46,,,,,,,,,,,,,,,,,,,,
,,,,,46,2020-07-04_15h47.08.301,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,673.041895,25,left,phone       ,7,9,-1,0.79646,0,0,673.07492,673.07492,675.567135,0,24,24,24,1,25,7,8,phone       ,camel         ,html/resources/sequences_IDs/B/09_phone.jpg,html/resources/sequences_IDs/A/03_camel.jpg,9,3,4,2,1,1,7,2,0,46,,,,,,,,,,,,,,,,,,,,
,,,,,46,2020-07-04_15h47.08.301,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,676.664045,26,right,sport_tshirt,5,7,-3,0.706685,0,3,676.68669,676.68669,679.17425,0,25,25,25,1,26,8,5,camel         ,sport_tshirt,html/resources/sequences_IDs/A/03_camel.jpg,html/resources/sequences_IDs/B/07_sport_tshirt.jpg,3,7,1,1,3,2,2,6,0,46,,,,,,,,,,,,,,,,,,,,
,,,,,46,2020-07-04_15h47.08.301,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,679.775485,27,right,clownfish     ,6,4,4,0.70258,1,3,679.812725,679.812725,682.29202,0,26,26,26,1,27,2,6,scarf         ,clownfish     ,html/resources/sequences_IDs/A/06_scarf.jpg,html/resources/sequences_IDs/A/04_clownfish.jpg,6,4,3,2,2,1,5,3,0,46,,,,,,,,,,,,,,,,,,,,
,,,,,46,2020-07-04_15h47.08.301,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,682.910265,28,right,redfox      ,3,1,1,1.10689,1,1,682.94358,682.94358,685.447175,0,27,27,27,1,28,2,3,scarf         ,redfox      ,html/resources/sequences_IDs/A/06_scarf.jpg,html/resources/sequences_IDs/B/01_redfox.jpg,6,1,3,2,1,1,5,1,0,46,,,,,,,,,,,,,,,,,,,,
,,,,,46,2020-07-04_15h47.08.301,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,686.551095,29,left,sport_tshirt,5,7,-3,0.965365,0,3,686.57026,686.57026,689.06068,0,28,28,28,1,29,5,8,sport_tshirt,camel         ,html/resources/sequences_IDs/B/07_sport_tshirt.jpg,html/resources/sequences_IDs/A/03_camel.jpg,7,3,3,2,1,1,6,2,0,46,,,,,,,,,,,,,,,,,,,,
,,,,,46,2020-07-04_15h47.08.301,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,689.66298,30,left,clownfish     ,6,4,-1,0.661085,0,0,689.684155,689.684155,692.17817,0,29,29,29,1,30,6,7,clownfish     ,phone       ,html/resources/sequences_IDs/A/04_clownfish.jpg,html/resources/sequences_IDs/B/09_phone.jpg,4,9,2,1,4,2,3,7,0,46,,,,,,,,,,,,,,,,,,,,
,,,,,46,2020-07-04_15h47.08.301,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,693.28006,31,NaN,No_response,NaN,NaN,NaN,NaN,2,2,693.313005,693.313005,695.80314,0,30,30,30,1,31,6,5,clownfish     ,sport_tshirt,html/resources/sequences_IDs/A/04_clownfish.jpg,html/resources/sequences_IDs/B/07_sport_tshirt.jpg,4,7,2,1,3,2,3,6,0,46,,,,,,,,,,,,,,,,,,,,
,,,,,46,2020-07-04_15h47.08.301,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,696.903245,32,right,redfox      ,3,1,2,0.993410001,1,3,696.9204,696.9204,699.414225,0,31,31,31,1,32,1,3,parrot      ,redfox      ,html/resources/sequences_IDs/B/05_parrot.jpg,html/resources/sequences_IDs/B/01_redfox.jpg,5,1,2,1,1,1,4,1,0,46,,,,,,,,,,,,,,,,,,,,
,,,,,46,2020-07-04_15h47.08.301,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,700.01698,33,right,scarf         ,2,6,1,1.067635001,1,1,700.05081,700.05081,702.536465,0,32,32,32,1,33,1,2,parrot      ,scarf         ,html/resources/sequences_IDs/B/05_parrot.jpg,html/resources/sequences_IDs/A/06_scarf.jpg,5,6,2,1,3,2,4,5,0,46,,,,,,,,,,,,,,,,,,,,
,,,,,46,2020-07-04_15h47.08.301,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,703.63457,34,left,satellite_dish,4,10,1,0.895895,1,0,703.65401,703.65401,706.150055,0,33,33,33,1,34,4,3,satellite_dish,redfox      ,html/resources/sequences_IDs/A/10_satellite_dish.jpg,html/resources/sequences_IDs/B/01_redfox.jpg,10,1,4,2,1,1,8,1,1,46,,,,,,,,,,,,,,,,,,,,
,,,,,46,2020-07-04_15h47.08.301,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,707.252155,35,right,phone       ,7,9,3,0.547095,1,3,707.286545,707.286545,709.787445,0,34,34,34,1,35,4,7,satellite_dish,phone       ,html/resources/sequences_IDs/A/10_satellite_dish.jpg,html/resources/sequences_IDs/B/09_phone.jpg,10,9,4,2,4,2,8,7,0,46,,,,,,,,,,,,,,,,,,,,
,,,,,46,2020-07-04_15h47.08.301,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,710.405925,36,right,redfox      ,3,1,-1,0.696839999,0,0,710.421645,710.421645,715.09308,0,35,35,35,1,36,4,3,satellite_dish,redfox      ,html/resources/sequences_IDs/A/10_satellite_dish.jpg,html/resources/sequences_IDs/B/01_redfox.jpg,10,1,4,2,1,1,8,1,0,46,,,,,,,,,,,,,,,,,,,,
,,,,,46,2020-07-04_15h47.08.301,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,716.191435,37,left,scarf         ,2,6,1,0.947,1,0,716.231195,716.231195,718.74366,0,36,36,36,1,37,2,1,scarf         ,parrot      ,html/resources/sequences_IDs/A/06_scarf.jpg,html/resources/sequences_IDs/B/05_parrot.jpg,6,5,3,2,2,1,5,4,1,46,,,,,,,,,,,,,,,,,,,,
,,,,,46,2020-07-04_15h47.08.301,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,719.88904,38,NaN,No_response,NaN,NaN,NaN,NaN,2,2,719.91437,719.91437,722.436805,0,37,37,37,1,38,8,6,camel         ,clownfish     ,html/resources/sequences_IDs/A/03_camel.jpg,html/resources/sequences_IDs/A/04_clownfish.jpg,3,4,1,1,2,1,2,3,0,46,,,,,,,,,,,,,,,,,,,,
,,,,,46,2020-07-04_15h47.08.301,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,723.531965,39,left,clownfish     ,6,4,1,0.42287,1,1,723.547225,723.547225,726.040045,0,38,38,38,1,39,6,5,clownfish     ,sport_tshirt,html/resources/sequences_IDs/A/04_clownfish.jpg,html/resources/sequences_IDs/B/07_sport_tshirt.jpg,4,7,2,1,3,2,3,6,0,46,,,,,,,,,,,,,,,,,,,,
,,,,,46,2020-07-04_15h47.08.301,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,727.374925,40,right,phone       ,7,9,4,0.661395,1,3,727.67899,727.67899,730.17451,0,39,39,39,1,40,3,7,redfox      ,phone       ,html/resources/sequences_IDs/B/01_redfox.jpg,html/resources/sequences_IDs/B/09_phone.jpg,1,9,1,1,4,2,1,7,0,46,,,,,,,,,,,,,,,,,,,,
,,,,,46,2020-07-04_15h47.08.301,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,730.7927,41,right,camel         ,8,3,7,1.02147,1,3,730.80984,730.80984,733.35041,0,40,40,40,1,41,1,8,parrot      ,camel         ,html/resources/sequences_IDs/B/05_parrot.jpg,html/resources/sequences_IDs/A/03_camel.jpg,5,3,2,1,1,1,4,2,0,46,,,,,,,,,,,,,,,,,,,,
,,,,,46,2020-07-04_15h47.08.301,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,733.961635,42,right,scarf         ,2,6,-1,0.82798,0,0,734.12711,734.12711,736.7777,0,41,41,41,1,42,3,2,redfox      ,scarf         ,html/resources/sequences_IDs/B/01_redfox.jpg,html/resources/sequences_IDs/A/06_scarf.jpg,1,6,1,1,3,2,1,5,0,46,,,,,,,,,,,,,,,,,,,,
,,,,,46,2020-07-04_15h47.08.301,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,737.878325,43,left,phone       ,7,9,4,0.756785001,1,3,737.8955,737.8955,740.394695,0,42,42,42,1,43,7,3,phone       ,redfox      ,html/resources/sequences_IDs/B/09_phone.jpg,html/resources/sequences_IDs/B/01_redfox.jpg,9,1,4,2,1,1,7,1,0,46,,,,,,,,,,,,,,,,,,,,
,,,,,46,2020-07-04_15h47.08.301,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,741.013025,44,right,phone       ,7,9,5,1.247479999,1,3,741.04607,741.04607,743.54728,0,43,43,43,1,44,2,7,scarf         ,phone       ,html/resources/sequences_IDs/A/06_scarf.jpg,html/resources/sequences_IDs/B/09_phone.jpg,6,9,3,2,4,2,5,7,0,46,,,,,,,,,,,,,,,,,,,,
,,,,,46,2020-07-04_15h47.08.301,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,744.16447,45,left,clownfish     ,6,4,2,0.964064999,1,3,744.19785,744.19785,746.6846,0,44,44,44,1,45,6,4,clownfish     ,satellite_dish,html/resources/sequences_IDs/A/04_clownfish.jpg,html/resources/sequences_IDs/A/10_satellite_dish.jpg,4,10,2,1,4,2,3,8,0,46,,,,,,,,,,,,,,,,,,,,
,,,,,46,2020-07-04_15h47.08.301,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,747.449995,46,right,clownfish     ,6,4,2,0.522295,1,3,747.469835,747.469835,749.96778,0,45,45,45,1,46,4,6,satellite_dish,clownfish     ,html/resources/sequences_IDs/A/10_satellite_dish.jpg,html/resources/sequences_IDs/A/04_clownfish.jpg,10,4,4,2,2,1,8,3,0,46,,,,,,,,,,,,,,,,,,,,
,,,,,46,2020-07-04_15h47.08.301,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,750.583925,47,left,sport_tshirt,5,7,2,0.878755,1,3,750.623085,750.623085,753.11539,0,46,46,46,1,47,5,3,sport_tshirt,redfox      ,html/resources/sequences_IDs/B/07_sport_tshirt.jpg,html/resources/sequences_IDs/B/01_redfox.jpg,7,1,3,2,1,1,6,1,0,46,,,,,,,,,,,,,,,,,,,,
,,,,,46,2020-07-04_15h47.08.301,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,753.716835,48,right,clownfish     ,6,4,1,0.574965,1,1,753.75036,753.75036,756.25083,0,47,47,47,1,48,5,6,sport_tshirt,clownfish     ,html/resources/sequences_IDs/B/07_sport_tshirt.jpg,html/resources/sequences_IDs/A/04_clownfish.jpg,7,4,3,2,2,1,6,3,0,46,,,,,,,,,,,,,,,,,,,,
,,,,,46,2020-07-04_15h47.08.301,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,757.35257,49,right,clownfish     ,6,4,3,0.59653,1,3,757.38624,757.38624,759.88599,0,48,48,48,1,49,3,6,redfox      ,clownfish     ,html/resources/sequences_IDs/B/01_redfox.jpg,html/resources/sequences_IDs/A/04_clownfish.jpg,1,4,1,1,2,1,1,3,0,46,,,,,,,,,,,,,,,,,,,,
,,,,,46,2020-07-04_15h47.08.301,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,760.503185,50,right,parrot      ,1,5,-7,1.088289999,0,3,760.52154,760.52154,763.01667,0,49,49,49,1,50,8,1,camel         ,parrot      ,html/resources/sequences_IDs/A/03_camel.jpg,html/resources/sequences_IDs/B/05_parrot.jpg,3,5,1,1,2,1,2,4,0,46,,,,,,,,,,,,,,,,,,,,
,,,,,46,2020-07-04_15h47.08.301,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,763.6243,51,right,phone       ,7,9,1,0.95536,1,1,763.65901,763.65901,766.1533,0,50,50,50,1,51,6,7,clownfish     ,phone       ,html/resources/sequences_IDs/A/04_clownfish.jpg,html/resources/sequences_IDs/B/09_phone.jpg,4,9,2,1,4,2,3,7,0,46,,,,,,,,,,,,,,,,,,,,
,,,,,46,2020-07-04_15h47.08.301,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,767.255735,52,left,phone       ,7,9,1,1.10425,1,1,767.305515,767.305515,772.290635,0,51,51,51,1,52,7,6,phone       ,clownfish     ,html/resources/sequences_IDs/B/09_phone.jpg,html/resources/sequences_IDs/A/04_clownfish.jpg,9,4,4,2,2,1,7,3,0,46,,,,,,,,,,,,,,,,,,,,
